time,.data
1969/12/31/22:13:57.380000,-2.9098133795139036
1969/12/31/22:13:57.380000,-2.891066976199166
1969/12/31/22:13:57.390000,-2.891066976199166
1969/12/31/22:13:57.390000,-2.891066976199166
1969/12/31/22:13:57.400000,-2.891066976199166
1969/12/31/22:13:57.400000,-2.891066976199166
1969/12/31/22:13:57.410000,-2.891066976199166
1969/12/31/22:13:57.410000,-2.891066976199166
1969/12/31/22:13:57.420000,-2.891066976199166
1969/12/31/22:13:57.420000,-2.891066976199166
1969/12/31/22:13:57.430000,-2.891066976199166
1969/12/31/22:13:57.430000,-2.8724815993743804
1969/12/31/22:13:57.440000,-2.8724815993743804
1969/12/31/22:13:57.440000,-2.8687786722504542
1969/12/31/22:13:57.450000,-2.8687786722504542
1969/12/31/22:13:57.450000,-2.8687786722504542
1969/12/31/22:13:57.460000,-2.8687786722504542
1969/12/31/22:13:57.460000,-2.8687786722504542
1969/12/31/22:13:57.470000,-2.8687786722504542
1969/12/31/22:13:57.470000,-2.8687786722504542
1969/12/31/22:13:57.480000,-2.8687786722504542
1969/12/31/22:13:57.480000,-2.8687786722504542
1969/12/31/22:13:57.490000,-2.8687786722504542
1969/12/31/22:13:57.490000,-2.850537615625271
1969/12/31/22:13:57.500000,-2.850537615625271
1969/12/31/22:13:57.500000,-2.850537615625271
1969/12/31/22:13:57.510000,-2.850537615625271
1969/12/31/22:13:57.510000,-2.850537615625271
1969/12/31/22:13:57.520000,-2.850537615625271
1969/12/31/22:13:57.520000,-2.850537615625271
1969/12/31/22:13:57.530000,-2.850537615625271
1969/12/31/22:13:57.530000,-2.828915355626289
1969/12/31/22:13:57.540000,-2.828915355626289
1969/12/31/22:13:57.540000,-2.828915355626289
1969/12/31/22:13:57.550000,-2.828915355626289
1969/12/31/22:13:57.550000,-2.828915355626289
1969/12/31/22:13:57.560000,-2.828915355626289
1969/12/31/22:13:57.560000,-2.828915355626289
1969/12/31/22:13:57.570000,-2.828915355626289
1969/12/31/22:13:57.570000,-2.828915355626289
1969/12/31/22:13:57.580000,-2.828915355626289
1969/12/31/22:13:57.580000,-2.805002220358406
1969/12/31/22:13:57.590000,-2.805002220358406
1969/12/31/22:13:57.590000,-2.805002220358406
1969/12/31/22:13:57.600000,-2.805002220358406
1969/12/31/22:13:57.600000,-2.805002220358406
1969/12/31/22:13:57.610000,-2.805002220358406
1969/12/31/22:13:57.610000,-2.805002220358406
1969/12/31/22:13:57.620000,-2.805002220358406
1969/12/31/22:13:57.620000,-2.7818912478802114
1969/12/31/22:13:57.630000,-2.7818912478802114
1969/12/31/22:13:57.630000,-2.777337711063494
1969/12/31/22:13:57.640000,-2.777337711063494
1969/12/31/22:13:57.640000,-2.777337711063494
1969/12/31/22:13:57.650000,-2.777337711063494
1969/12/31/22:13:57.650000,-2.777337711063494
1969/12/31/22:13:57.660000,-2.777337711063494
1969/12/31/22:13:57.660000,-2.777337711063494
1969/12/31/22:13:57.670000,-2.777337711063494
1969/12/31/22:13:57.670000,-2.777337711063494
1969/12/31/22:13:57.680000,-2.777337711063494
1969/12/31/22:13:57.680000,-2.75859736583329
1969/12/31/22:13:57.690000,-2.75859736583329
1969/12/31/22:13:57.690000,-2.75859736583329
