time,.data
1969/12/31/22:13:57.380000,-2.2204333034809367
1969/12/31/22:13:57.380000,-2.1960658897786756
1969/12/31/22:13:57.390000,-2.1960658897786756
1969/12/31/22:13:57.390000,-2.1960658897786756
1969/12/31/22:13:57.400000,-2.1960658897786756
1969/12/31/22:13:57.400000,-2.1960658897786756
1969/12/31/22:13:57.410000,-2.1960658897786756
1969/12/31/22:13:57.410000,-2.1960658897786756
1969/12/31/22:13:57.420000,-2.1960658897786756
1969/12/31/22:13:57.420000,-2.1960658897786756
1969/12/31/22:13:57.430000,-2.1960658897786756
1969/12/31/22:13:57.430000,-2.165162340182442
1969/12/31/22:13:57.440000,-2.165162340182442
1969/12/31/22:13:57.440000,-2.1589229475363094
1969/12/31/22:13:57.450000,-2.1589229475363094
1969/12/31/22:13:57.450000,-2.1589229475363094
1969/12/31/22:13:57.460000,-2.1589229475363094
1969/12/31/22:13:57.460000,-2.1589229475363094
1969/12/31/22:13:57.470000,-2.1589229475363094
1969/12/31/22:13:57.470000,-2.1589229475363094
1969/12/31/22:13:57.480000,-2.1589229475363094
1969/12/31/22:13:57.480000,-2.1589229475363094
1969/12/31/22:13:57.490000,-2.1589229475363094
1969/12/31/22:13:57.490000,-2.1274356591227246
1969/12/31/22:13:57.500000,-2.1274356591227246
1969/12/31/22:13:57.500000,-2.1274356591227246
1969/12/31/22:13:57.510000,-2.1274356591227246
1969/12/31/22:13:57.510000,-2.1274356591227246
1969/12/31/22:13:57.520000,-2.1274356591227246
1969/12/31/22:13:57.520000,-2.1274356591227246
1969/12/31/22:13:57.530000,-2.1274356591227246
1969/12/31/22:13:57.530000,-2.101900846589455
1969/12/31/22:13:57.540000,-2.101900846589455
1969/12/31/22:13:57.540000,-2.101900846589455
1969/12/31/22:13:57.550000,-2.101900846589455
1969/12/31/22:13:57.550000,-2.101900846589455
1969/12/31/22:13:57.560000,-2.101900846589455
1969/12/31/22:13:57.560000,-2.101900846589455
1969/12/31/22:13:57.570000,-2.101900846589455
1969/12/31/22:13:57.570000,-2.101900846589455
1969/12/31/22:13:57.580000,-2.101900846589455
1969/12/31/22:13:57.580000,-2.0695571361609186
1969/12/31/22:13:57.590000,-2.0695571361609186
1969/12/31/22:13:57.590000,-2.0695571361609186
1969/12/31/22:13:57.600000,-2.0695571361609186
1969/12/31/22:13:57.600000,-2.0695571361609186
1969/12/31/22:13:57.610000,-2.0695571361609186
1969/12/31/22:13:57.610000,-2.0695571361609186
1969/12/31/22:13:57.620000,-2.0695571361609186
1969/12/31/22:13:57.620000,-2.043346553009527
1969/12/31/22:13:57.630000,-2.043346553009527
1969/12/31/22:13:57.630000,-2.0367477841076185
1969/12/31/22:13:57.640000,-2.0367477841076185
1969/12/31/22:13:57.640000,-2.0367477841076185
1969/12/31/22:13:57.650000,-2.0367477841076185
1969/12/31/22:13:57.650000,-2.0367477841076185
